host,url,score,http_status,raisons,tech
www.lepouvoirdenousengager.fr,https://www.lepouvoirdenousengager.fr/visualiser/partage/2020/produits/livret-solidaire-associations,11,200,id_non_derive_session(+6) | flux_auth | hors_cible_de_lancement:vega-is.com,"Apache HTTP Server,Node.js,Nuxt.js,Varnish:6.0,Vue.js"
www.lepouvoirdenousengager.fr,https://www.lepouvoirdenousengager.fr/visualiser/partage/2021/associations/aide-et-action,11,200,id_non_derive_session(+6) | flux_auth | hors_cible_de_lancement:vega-is.com,"Apache HTTP Server,Node.js,Nuxt.js,Varnish:6.0,Vue.js"
www.lepouvoirdenousengager.fr,https://www.lepouvoirdenousengager.fr/visualiser/partage/2020/produits/livret-a-comme-agir,11,200,id_non_derive_session(+6) | flux_auth | hors_cible_de_lancement:vega-is.com,"Apache HTTP Server,Node.js,Nuxt.js,Varnish:6.0,Vue.js"
www.lepouvoirdenousengager.fr,https://www.lepouvoirdenousengager.fr/visualiser/partage/2021/associations/association-franc-comtoise-du-chemin-de-compostelle,11,200,id_non_derive_session(+6) | flux_auth | hors_cible_de_lancement:vega-is.com,"Apache HTTP Server,Node.js,Nuxt.js,Varnish:6.0,Vue.js"
www.lepouvoirdenousengager.fr,https://www.lepouvoirdenousengager.fr/visualiser/partage/2019/associations/aide-et-action,11,200,id_non_derive_session(+6) | flux_auth | hors_cible_de_lancement:vega-is.com,"Apache HTTP Server,Node.js,Nuxt.js,Varnish:6.0,Vue.js"
www.lepouvoirdenousengager.fr,https://www.lepouvoirdenousengager.fr/visualiser/partage/2021/associations/fondation-abbe-pierre,11,200,id_non_derive_session(+6) | flux_auth | hors_cible_de_lancement:vega-is.com,"Apache HTTP Server,Node.js,Nuxt.js,Varnish:6.0,Vue.js"
www.lepouvoirdenousengager.fr,https://www.lepouvoirdenousengager.fr/visualiser/partage/2021/associations/ligue-des-droits-de-l-homme,11,200,id_non_derive_session(+6) | flux_auth | hors_cible_de_lancement:vega-is.com | sonde: 0 reponse 200 exploitable sur 4 id -> indetermine,"Apache HTTP Server,Node.js,Nuxt.js,Varnish:6.0,Vue.js"
www.lepouvoirdenousengager.fr,https://www.lepouvoirdenousengager.fr/visualiser/partage/2021/associations/solidarites-nouvelles-pour-le-logement,11,200,id_non_derive_session(+6) | flux_auth | hors_cible_de_lancement:vega-is.com,"Apache HTTP Server,Node.js,Nuxt.js,Varnish:6.0,Vue.js"
www.lepouvoirdenousengager.fr,https://www.lepouvoirdenousengager.fr/visualiser/partage/2021/associations/unicef,11,200,id_non_derive_session(+6) | flux_auth | hors_cible_de_lancement:vega-is.com,"Apache HTTP Server,Node.js,Nuxt.js,Varnish:6.0,Vue.js"
www.lepouvoirdenousengager.fr,https://www.lepouvoirdenousengager.fr/visualiser/tracabilite/2018/produits/livret-de-developpement-durable-et-solidaire/montant,11,200,id_non_derive_session(+6) | mouvement_argent | hors_cible_de_lancement:vega-is.com,"Apache HTTP Server,Node.js,Nuxt.js,Varnish:6.0,Vue.js"
www.lepouvoirdenousengager.fr,https://www.lepouvoirdenousengager.fr/visualiser/partage/2020/associations/solidarites-nouvelles-pour-le-logement,11,200,id_non_derive_session(+6) | flux_auth | hors_cible_de_lancement:vega-is.com,"Apache HTTP Server,Node.js,Nuxt.js,Varnish:6.0,Vue.js"
www.nosaweb-qpa.banquebcp.fr,https://www.nosaweb-qpa.banquebcp.fr/Pages/login.aspx?ReturnUrl=%2F,11,200,flux_auth | open_redirect_possible,Microsoft ASP.NET
www.payplug.com,https://www.payplug.com/blog/category/payments/page/3,11,200,id_non_derive_session(+6) | mouvement_argent | hors_cible_de_lancement:vega-is.com,"AddToAny,Bootstrap,Cloudflare,EWWW Image Optimizer,Google PageSpeed:1.13.35.2,Google Tag Manager,HSTS,HubSpot,MySQL,PHP,Redux Framework:4.4.5,Site Kit:1.183.0,WordPress,jQuery"
www.payplug.com,https://www.payplug.com/blog/category/payments/page/2,11,200,id_non_derive_session(+6) | mouvement_argent | hors_cible_de_lancement:vega-is.com,"AddToAny,Bootstrap,Cloudflare,EWWW Image Optimizer,Google PageSpeed:1.13.35.2,Google Tag Manager,HSTS,HubSpot,MySQL,PHP,Redux Framework:4.4.5,Site Kit:1.183.0,WordPress,jQuery"
www.seventure.fr,https://www.seventure.fr/en/partner/transfergo?cat=107,11,200,id_non_derive_session(+6) | mouvement_argent | hors_cible_de_lancement:vega-is.com,"Apache HTTP Server,MySQL,PHP,WordPress"
www.seventure.fr,https://www.seventure.fr/partner/transfergo?cat=5,11,200,id_non_derive_session(+6) | mouvement_argent | hors_cible_de_lancement:vega-is.com,"Apache HTTP Server,MySQL,PHP,WordPress"
www.vega-is.com,https://www.vega-is.com/fonds/4080/natixis-thematic-flexible-allocation-2027-fund,11,200,id_non_derive_session(+6) | mouvement_argent | hors_cible_de_lancement:votreepargnesalariale.com,"Cloudflare,Drupal,Google Tag Manager,HSTS,PHP,hCaptcha,jQuery,jQuery CDN"
www.vega-is.com,https://www.vega-is.com/fonds/4031/natixis-esg-dynamic-fund,11,200,id_non_derive_session(+6) | mouvement_argent | hors_cible_de_lancement:votreepargnesalariale.com,"Cloudflare,Drupal,Google Tag Manager,HSTS,PHP,hCaptcha,jQuery,jQuery CDN"
www.vega-is.com,https://www.vega-is.com/fonds/4029/natixis-esg-conservative-fund,11,200,id_non_derive_session(+6) | mouvement_argent | hors_cible_de_lancement:votreepargnesalariale.com,"Cloudflare,Drupal,Google Tag Manager,HSTS,PHP,hCaptcha,jQuery,jQuery CDN"
www.vega-is.com,https://www.vega-is.com/fonds/4030/natixis-esg-moderate-fund,11,200,id_non_derive_session(+6) | mouvement_argent | hors_cible_de_lancement:votreepargnesalariale.com,"Cloudflare,Drupal,Google Tag Manager,HSTS,PHP,hCaptcha,jQuery,jQuery CDN"
developer.dalenys.com,https://developer.dalenys.com/payment-methods/cv-connect.html,10,200,flux_auth | mouvement_argent,"Cloudflare,Google Cloud,Google Cloud Storage"
litiges.pama.natixis.com,https://litiges.pama.natixis.com/public/images/customization/Common/payment-online-services.natixis.com_general_ui/m,10,200,flux_auth | mouvement_argent,"F5 BigIP,HSTS"
litiges.pama.natixis.com,https://litiges.pama.natixis.com/public/images/customization/Common/payment-online-services.natixis.com_general_ui,10,200,flux_auth | mouvement_argent,"F5 BigIP,HSTS"
litiges.pama.natixis.com,https://litiges.pama.natixis.com/public/images/customization/Common/payment-online-services.natixis.com_general_ui/B-,10,200,flux_auth | mouvement_argent,"F5 BigIP,HSTS"
paiement.palatine.fr,https://paiement.palatine.fr/epaiement/palatine/payment/search;jsessionid=22730C8F645C1D1BC4CED86AC0B221B5?0-1.ILinkListener-legalMentionsLink=,10,200,flux_auth | mouvement_argent,"Bootstrap,HSTS,jQuery"
paiement.palatine.fr,https://paiement.palatine.fr/epaiement/palatine/payment/search;jsessionid=33346C2B1F90A61B24987306CD02F9CB?0-1.ILinkListener-informationPanel-container1-helpLinkContainer1=,10,200,flux_auth | mouvement_argent,"Bootstrap,HSTS,jQuery"
paiement.palatine.fr,https://paiement.palatine.fr/epaiement/palatine/help;jsessionid=8445FB1042AB71999D1081DECC2FED61,10,200,flux_auth | mouvement_argent,"Bootstrap,HSTS"
paiement.palatine.fr,https://paiement.palatine.fr/epaiement/palatine/payment/search;jsessionid=8445FB1042AB71999D1081DECC2FED61?0-5.ILinkListener-informationPanel-container1-helpLinkContainer1=,10,200,flux_auth | mouvement_argent,"Bootstrap,HSTS,jQuery"
paiement.palatine.fr,https://paiement.palatine.fr/epaiement/palatine/payment/search;jsessionid=DA39A5707C98BFB64EE37B40B3123BCE?0-1.ILinkListener-informationPanel-container1-helpLinkContainer1=,10,200,flux_auth | mouvement_argent,"Bootstrap,HSTS,jQuery"
